# 1993 Formula One calendar for Tweak-F1.py
# Format: RACE (max 8) | CIRCUIT (max 18) | LAPS (1-99)
S.Africa | Kyalami            | 72
Brazil   | Interlagos         | 71
Europe   | Donington Park     | 76
S.Marino | Imola              | 61
Spain    | Circuit Catalunya  | 65
Monaco   | Circuit de Monaco  | 78
Canada   | Gilles Villeneuve  | 69
France   | Magny-Cours        | 72
Britain  | Silverstone        | 59
Germany  | Hockenheimring     | 45
Hungary  | Hungaroring        | 77
Belgium  | Spa-Francorchamps  | 44
Italy    | Monza              | 53
Portugal | Estoril            | 71
Japan    | Suzuka             | 53
Austral. | Adelaide Street    | 79
